P_1,N_1,P_2,N_2,P_3,N_3,P_5,N_5
0.526315789473684,0.388888888888889,0.9,0.555555555555556,0.727272727272727,0.720930232558139,0.560975609756098,0.325
0.473684210526316,0.611111111111111,0.1,0.444444444444444,0.272727272727273,0.27906976744186,0.439024390243902,0.675
1,11,1,11,1,11,1,7
