A_10,B_10,C_10,A_15,B_15,C_15,A_20,B_20,C_20,A_25,B_25,C_25,A_30,B_30,C_30,A_35,B_35,C_35,A_40,B_40,C_40,A_45,B_45,C_45,A_50,B_50,C_50
0.225806451612903,0.30379746835443,0.4,0.176382098533283,0.271604938271605,0.38961038961039,0.219887429643527,0.305732484076433,0.386666666666667,0.170428893905192,0.279503105590062,0.311688311688312,0.199249530956848,0.291390728476821,0.392405063291139,0.195259593679458,0.264900662251656,0.376470588235294,0.269966254218223,0.363636363636364,0.457831325301205,0.230596175478065,0.262068965517241,0.4875,0.222801788375559,0.255172413793103,0.596774193548387
0.560765191297824,0.405063291139241,0.12,0.552463332079729,0.401234567901235,0.12987012987013,0.53921200750469,0.375796178343949,0.146666666666667,0.290820165537998,0.322981366459627,0.532467532467532,0.271294559099437,0.337748344370861,0.481012658227848,0.529345372460497,0.370860927152318,0.117647058823529,0.521559805024372,0.363636363636364,0.0963855421686747,0.253843269591301,0.393103448275862,0.4375,0.512295081967213,0.324137931034483,0.0483870967741935
0.213428357089272,0.291139240506329,0.48,0.271154569386988,0.327160493827161,0.480519480519481,0.240900562851782,0.318471337579618,0.466666666666667,0.53875094055681,0.397515527950311,0.155844155844156,0.529455909943715,0.370860927152318,0.126582278481013,0.275395033860045,0.364238410596026,0.505882352941176,0.208473940757405,0.272727272727273,0.44578313253012,0.515560554930634,0.344827586206897,0.075,0.264903129657228,0.420689655172414,0.354838709677419
0,0,0,0.154600301659125,0.265060240963855,0.425,0.207801950487622,0.307692307692308,0.368421052631579,0.149399399399399,0.278481012658228,0.297297297297297,0.188155922038981,0.302631578947368,0.368421052631579,0.192771084337349,0.28,0.386363636363636,0.287537537537538,0.385714285714286,0.511111111111111,0.249249249249249,0.366197183098592,0.418604651162791,0.220730797912006,0.256756756756757,0.548387096774194
0,0,0,0.552790346907994,0.421686746987952,0.125,0.541635408852213,0.41025641025641,0.184210526315789,0.31006006006006,0.316455696202532,0.540540540540541,0.532233883058471,0.381578947368421,0.0789473684210526,0.527861445783133,0.386666666666667,0.136363636363636,0.524774774774775,0.342857142857143,0.111111111111111,0.517267267267267,0.366197183098592,0.0697674418604651,0.513049962714392,0.324324324324324,0.0645161290322581
0,0,0,0.292609351432881,0.313253012048193,0.45,0.250562640660165,0.282051282051282,0.447368421052632,0.540540540540541,0.405063291139241,0.162162162162162,0.279610194902549,0.315789473684211,0.552631578947368,0.279367469879518,0.333333333333333,0.477272727272727,0.187687687687688,0.271428571428571,0.377777777777778,0.233483483483483,0.267605633802817,0.511627906976744,0.266219239373602,0.418918918918919,0.387096774193548
0,0,0,0,0,0,0.189887640449438,0.283018867924528,0.347826086956522,0.203619909502262,0.30188679245283,0.344827586206897,0.299097065462754,0.306122448979592,0.5,0.164599774520857,0.28,0.285714285714286,0.225842696629213,0.306122448979592,0.461538461538462,0.245219347581552,0.333333333333333,0.481481481481481,0.189732142857143,0.234042553191489,0.571428571428571
0,0,0,0,0,0,0.265168539325843,0.283018867924528,0.521739130434783,0.539592760180995,0.433962264150943,0.172413793103448,0.18961625282167,0.428571428571429,0.366666666666667,0.54227733934611,0.4,0.142857142857143,0.523595505617978,0.36734693877551,0.115384615384615,0.517435320584927,0.375,0.037037037037037,0.517857142857143,0.382978723404255,0.0476190476190476
0,0,0,0,0,0,0.544943820224719,0.433962264150943,0.130434782608696,0.256787330316742,0.264150943396226,0.482758620689655,0.511286681715576,0.26530612244898,0.133333333333333,0.293122886133033,0.32,0.571428571428571,0.250561797752809,0.326530612244898,0.423076923076923,0.237345331833521,0.291666666666667,0.481481481481481,0.292410714285714,0.382978723404255,0.380952380952381
0,0,0,0,0,0,0,0,0,0.295352323838081,0.358974358974359,0.5,0.213213213213213,0.263157894736842,0.4,0.162650602409639,0.289473684210526,0.363636363636364,0.176911544227886,0.257142857142857,0.454545454545455,0.223388305847076,0.257142857142857,0.476190476190476,0.212797619047619,0.222222222222222,0.533333333333333
