Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
0.671852899575672,0.557446808510638,0.335443037974684,0.418845956625343,0.518817204301075,0.531262304118434,0.415294511378849,0.466174487131987,0.442553191489362,0.353240740740741,0.50314465408805,0.415072913160409
0,0,0,0,0.162758620689655,0.179665476414208,0.248240785277822,0.208458267359857,0.174285714285714,0.0964479925951637,0.269680611785875,0.142082062626901
0,0,0,0,0,0,0,0,0.514935988620199,0.382700672202452,0.424628450106157,0.402575823914828
