,CMEANS_P,CMEANS_N,CMEANS_1ACC_P,CMEANS_1ACC_N,KMEANS_CB_P,KMEANS_CB_N,KMEANS_CB_P_1ACC,KMEANS_CB_N_1ACC,KMEANS_CS_P,KMEANS_CS_N,KMEANS_CS_P_1ACC,KMEANS_CS_N_1ACC,KMEANS_CR_P,KMEANS_CR_N,KMEANS_CR_P_1ACC,KMEANS_CR_N_1ACC,KMEANS_SQ_P,KMEANS_SQ_N,KMEANS_SQ_P_1ACC,KMEANS_SQ_N_1ACC,NET_P,NET_N,NET_P_1ACC,NET_N_1ACC
P,0.545180722891566,0.3125,0.545180722891566,0.3125,0.573363431151242,0.519480519480519,0.583897667419112,0.272727272727273,0.530343007915567,0.526315789473684,0.528813559322034,0.142857142857143,0.477966101694915,0.428571428571429,0.52710843373494,0.3125,0.572881355932203,0.571428571428571,0.535593220338983,0.142857142857143,0.586466165413534,0.555555555555556,0.525423728813559,0.142857142857143
N,0.454819277108434,0.6875,0.454819277108434,0.6875,0.426636568848758,0.480519480519481,0.416102332580888,0.727272727272727,0.469656992084433,0.473684210526316,0.471186440677966,0.857142857142857,0.522033898305085,0.571428571428571,0.47289156626506,0.6875,0.427118644067797,0.428571428571429,0.464406779661017,0.857142857142857,0.413533834586466,0.444444444444444,0.474576271186441,0.857142857142857
,15,17,15,17,3,17,3,9,13,17,17,17,17,17,15,17,17,17,17,17,9,17,17,17
