CMEANS_A,CMEANS_B,CMEANS_C,CMEANS_1ACC_A,CMEANS_1ACC_B,CMEANS_1ACC_C,KMEANS_CB_A,KMEANS_CB_B,KMEANS_CB_C,KMEANS_CB_A_1ACC,KMEANS_CB_B_1ACC,KMEANS_CB_C_1ACC,KMEANS_CS_A,KMEANS_CS_B,KMEANS_CS_C,KMEANS_CS_A_1ACC,KMEANS_CS_B_1ACC,KMEANS_CS_C_1ACC,KMEANS_CR_A,KMEANS_CR_B,KMEANS_CR_C,KMEANS_CR_A_1ACC,KMEANS_CR_B_1ACC,KMEANS_CR_C_1ACC,KMEANS_SQ_A,KMEANS_SQ_B,KMEANS_SQ_C,KMEANS_SQ_A_1ACC,KMEANS_SQ_B_1ACC,KMEANS_SQ_C_1ACC,NET_A,NET_B,NET_C,NET_A_1ACC,NET_B_1ACC,NET_C_1ACC
0,0,0,0,0,0,0.817829457364341,0.0852713178294574,0.0968992248062016,0.815450643776824,0.0128755364806867,0.171673819742489,0.828985507246377,0.072463768115942,0.0985507246376812,0.836909871244635,0.0128755364806867,0.150214592274678,0.798283261802575,0.0901287553648069,0.111587982832618,0.828326180257511,0.158798283261803,0.0128755364806867,0,0,0,0.852713178294574,0.0116279069767442,0.135658914728682,0,0,0,0,0,0
0,0,0,0,0,0,0.229508196721311,0.360655737704918,0.409836065573771,0.178571428571429,0.25,0.571428571428571,0.283950617283951,0.382716049382716,0.333333333333333,0.285714285714286,0.232142857142857,0.482142857142857,0.196428571428571,0.446428571428571,0.357142857142857,0.25,0.517857142857143,0.232142857142857,0,0,0,0.377049180327869,0.245901639344262,0.377049180327869,0,0,0,0,0,0
0,0,0,0,0,0,0.318181818181818,0.272727272727273,0.409090909090909,0.307692307692308,0.153846153846154,0.538461538461538,0.25,0.214285714285714,0.535714285714286,0.384615384615385,0.0769230769230769,0.538461538461538,0.307692307692308,0.307692307692308,0.384615384615385,0.384615384615385,0.461538461538462,0.153846153846154,0,0,0,0.409090909090909,0.0909090909090909,0.5,0,0,0,0,0,0
0,0,0,0,0,0,22,25,0.529192034720056,25,25,0.534637394079454,16,25,0.582471947447793,25,25,0.535838088949677,25,25,0.54310907261551,25,25,0.500009825653603,0,0,0,22,25,0.532871605879612,0,0,0,0,0,0
