C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24
0.665714285714286,0.223823246878002,0.331908831908832,0.267355134825014,0.434285714285714,0.439275539275539,0.413705203178887,0.426107102264883,0.395862068965517,0.386466976570115,0.401038604742308,0.393617977422739,0.494623655913978,0.482334894885649,0.51619812583668,0.498692308814172,0.672830725462304,0.72412970910825,0.341316348195329,0.463950861215963,0.671852899575672,0.557446808510638,0.335443037974684,0.418845956625343
1,2,0,0,1,2,0,0,1,1.5,0,0,0.5,1.5,0,0,1.5,2,0,0,0.5,1,0,0
0.632911392405063,0.513636917268049,0.527630237673695,0.520539551161175,0.613445378151261,0.494812066240638,0.505050505050505,0.499878865626924,0.493827160493827,0.32078853046595,0.25,0.281004709576138,0.4,0.482112332112332,0.449494949494949,0.465232641805558,0.696774193548387,0.401315789473684,0.360549943883277,0.37984221901319,0.69327731092437,0.399290780141844,0.34983164983165,0.372928500844729
1.5,2,0,0,1,2,0,0,0.5,1.5,0,0,0.5,2,0,0,0.5,2,0,0,1,2,0,0
