A_10,B_10,C_10,A_15,B_15,C_15,A_20,B_20,C_20,A_25,B_25,C_25,A_30,B_30,C_30,A_35,B_35,C_35,A_40,B_40,C_40,A_45,B_45,C_45,A_50,B_50,C_50
0.120092378752887,0.402390438247012,0.255813953488372,0.197411003236246,0.626746506986028,0.764367816091954,0.210087922258214,0.681274900398406,0.798850574712644,0.66404077849861,0.05,0.0393258426966292,0.657235621521336,0.0513833992094862,0.0346820809248555,0.245475638051044,0.91699604743083,0.92485549132948,0.653810408921933,0.0512820512820513,0.0229885057471264,0.731515711645102,0.0637065637065637,0.0466666666666667,0.0976058931860037,0.0786516853932584,0.056
0.704387990762125,0.0856573705179283,0.0813953488372093,0.121590383726306,0.313373253493014,0.172413793103448,0.119851920407219,0.264940239043825,0.149425287356322,0.216404077849861,0.734,0.820224719101124,0.221706864564007,0.733201581027668,0.815028901734104,0.0134570765661253,0.00197628458498024,0,0.108736059479554,0.153846153846154,0.0977011494252874,0.263401109057301,0.936293436293436,0.953333333333333,0.257826887661142,0.874531835205993,0.944
0.175519630484988,0.51195219123506,0.662790697674419,0.680998613037448,0.0598802395209581,0.0632183908045977,0.670060157334567,0.0537848605577689,0.0517241379310345,0.119555143651529,0.216,0.140449438202247,0.121057513914657,0.215415019762846,0.15028901734104,0.741067285382831,0.0810276679841897,0.0751445086705202,0.237453531598513,0.794871794871795,0.879310344827586,0.00508317929759704,0,0,0.644567219152855,0.0468164794007491,0
0,0,0,0.195009242144177,0.617529880478088,0.767441860465116,0.207756232686981,0.637450199203187,0.8,0.663577386468953,0.0443548387096774,0.032967032967033,0.239332096474954,0.9,0.888888888888889,0.230269266480966,0.827450980392157,0.882352941176471,0.109665427509294,0.176470588235294,0.104651162790698,0.64331797235023,0.0387596899224806,0.0136986301369863,0.0990825688073395,0.0827067669172932,0.05
0,0,0,0.120147874306839,0.318725099601594,0.162790697674419,0.12280701754386,0.302788844621514,0.141176470588235,0.215940685820204,0.729838709677419,0.835164835164835,0.74025974025974,0.1,0.111111111111111,0.641597028783658,0.0392156862745098,0.0117647058823529,0.237918215613383,0.764705882352941,0.883720930232558,0.106912442396313,0.13953488372093,0.0821917808219178,0.644036697247706,0.0488721804511278,0
0,0,0,0.684842883548983,0.0637450199203187,0.0697674418604651,0.66943674976916,0.0597609561752988,0.0588235294117647,0.120481927710843,0.225806451612903,0.131868131868132,0.0204081632653061,0,0,0.128133704735376,0.133333333333333,0.105882352941176,0.652416356877323,0.0588235294117647,0.0116279069767442,0.249769585253456,0.821705426356589,0.904109589041096,0.256880733944954,0.868421052631579,0.95
0,0,0,0,0,0,0.210084033613445,0.70414201183432,0.777777777777778,0.217451523545706,0.745454545454545,0.847457627118644,0.240997229916898,0.891566265060241,0.912280701754386,0.231944444444444,0.802395209580838,0.879310344827586,0.117891816920943,0.160714285714286,0.107142857142857,0.640776699029126,0.04,0.0208333333333333,0.0950413223140496,0.107344632768362,0.0487804878048781
0,0,0,0,0,0,0.113445378151261,0.242603550295858,0.158730158730159,0.660664819944598,0.0424242424242424,0.0338983050847458,0.740997229916898,0.108433734939759,0.087719298245614,0.123611111111111,0.149700598802395,0.120689655172414,0.643550624133148,0.0535714285714286,0,0.112343966712899,0.137142857142857,0.0833333333333333,0.257575757575758,0.836158192090395,0.951219512195122
0,0,0,0,0,0,0.676470588235294,0.0532544378698225,0.0634920634920635,0.121883656509695,0.212121212121212,0.11864406779661,0.018005540166205,0,0,0.644444444444444,0.0479041916167665,0,0.238557558945908,0.785714285714286,0.892857142857143,0.246879334257975,0.822857142857143,0.895833333333333,0.647382920110193,0.0564971751412429,0
0,0,0,0,0,0,0,0,0,0.225925925925926,0.715447154471545,0.847826086956522,0.230483271375465,0.881889763779528,0.863636363636364,0.229050279329609,0.856060606060606,0.925,0.112359550561798,0.166666666666667,0.0232558139534884,0.654343807763401,0.0381679389312977,0.0277777777777778,0.0987202925045704,0.145038167938931,0.0666666666666667
0,0,0,0,0,0,0,0,0,0.114814814814815,0.235772357723577,0.130434782608696,0.5817843866171,0.015748031496063,0,0.625698324022346,0.0454545454545455,0,0.235955056179775,0.765151515151515,0.930232558139535,0.0905730129390018,0.129770992366412,0.0555555555555556,0.645338208409506,0.0381679389312977,0
