CMEANS_A,CMEANS_B,CMEANS_C,KMEANS_CB_A,KMEANS_CB_B,KMEANS_CB_C,KMEANS_CR_A,KMEANS_CR_B,KMEANS_CR_C,KMEANS_CS_A,KMEANS_CS_B,KMEANS_CS_C,KMEANS_SQ_A,KMEANS_SQ_B,KMEANS_SQ_C,NET_A,NET_B,NET_C
0.45,0.116666666666667,0.433333333333333,0.433333333333333,0.116666666666667,0.45,0.441666666666667,0.425,0.133333333333333,0.425,0.133333333333333,0.441666666666667,0.441666666666667,0.441666666666667,0.116666666666667,0.441666666666667,0.441666666666667,0.116666666666667
0.260869565217391,0.108695652173913,0.630434782608696,0.630434782608696,0.108695652173913,0.260869565217391,0.260869565217391,0.630434782608696,0.108695652173913,0.630434782608696,0.108695652173913,0.260869565217391,0.630434782608696,0.260869565217391,0.108695652173913,0.630434782608696,0.260869565217391,0.108695652173913
0.2,0.6,0.2,0.2,0.6,0.2,0.2,0.2,0.6,0.2,0.6,0.2,0.2,0.4,0.4,0.2,0.4,0.4
25,25,0.252898550724638,25,25,0.247342995169082,25,25,0.557367149758454,25,25,0.244565217391304,25,25,0.367512077294686,25,25,0.367512077294686
