A_10,B_10,C_10,A_15,B_15,C_15,A_20,B_20,C_20,A_25,B_25,C_25,A_30,B_30,C_30,A_35,B_35,C_35,A_40,B_40,C_40,A_45,B_45,C_45,A_50,B_50,C_50
0.761996904024768,0.464516129032258,0.657534246575342,0.77438080495356,0.458064516129032,0.671232876712329,0.778637770897833,0.464516129032258,0.671232876712329,0.777863777089783,0.464516129032258,0.671232876712329,0.778250773993808,0.464516129032258,0.671232876712329,0.777863777089783,0.464516129032258,0.671232876712329,0.777863777089783,0.464516129032258,0.671232876712329,0.777863777089783,0.464516129032258,0.671232876712329,0.778250773993808,0.464516129032258,0.671232876712329
0.238003095975232,0.535483870967742,0.342465753424658,0.22561919504644,0.541935483870968,0.328767123287671,0.221362229102167,0.535483870967742,0.328767123287671,0.222136222910217,0.535483870967742,0.328767123287671,0.221749226006192,0.535483870967742,0.328767123287671,0.222136222910217,0.535483870967742,0.328767123287671,0.222136222910217,0.535483870967742,0.328767123287671,0.222136222910217,0.535483870967742,0.328767123287671,0.221749226006192,0.535483870967742,0.328767123287671
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.65661252900232,0.311688311688312,0.444444444444444,0.65583913379737,0.311688311688312,0.444444444444444,0.65661252900232,0.298701298701299,0.444444444444444,0.65583913379737,0.298701298701299,0.444444444444444,0.660479505027069,0.311688311688312,0.472222222222222,0.661252900232019,0.311688311688312,0.472222222222222,0.662026295436968,0.311688311688312,0.472222222222222,0.663573085846868,0.311688311688312,0.472222222222222
0,0,0,0.34338747099768,0.688311688311688,0.555555555555556,0.34416086620263,0.688311688311688,0.555555555555556,0.34338747099768,0.701298701298701,0.555555555555556,0.34416086620263,0.701298701298701,0.555555555555556,0.339520494972931,0.688311688311688,0.527777777777778,0.338747099767981,0.688311688311688,0.527777777777778,0.337973704563032,0.688311688311688,0.527777777777778,0.336426914153132,0.688311688311688,0.527777777777778
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.627634660421546,0.274509803921569,0.260869565217391,0.629976580796253,0.274509803921569,0.304347826086957,0.629976580796253,0.274509803921569,0.304347826086957,0.631147540983607,0.274509803921569,0.304347826086957,0.637002341920375,0.274509803921569,0.304347826086957,0.635831381733021,0.274509803921569,0.304347826086957,0.635831381733021,0.274509803921569,0.304347826086957
0,0,0,0,0,0,0.372365339578454,0.725490196078431,0.739130434782609,0.370023419203747,0.725490196078431,0.695652173913043,0.370023419203747,0.725490196078431,0.695652173913043,0.368852459016393,0.725490196078431,0.695652173913043,0.362997658079625,0.725490196078431,0.695652173913043,0.364168618266979,0.725490196078431,0.695652173913043,0.364168618266979,0.725490196078431,0.695652173913043
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.622464898595944,0.27027027027027,0.315789473684211,0.622464898595944,0.27027027027027,0.315789473684211,0.622464898595944,0.27027027027027,0.315789473684211,0.620904836193448,0.27027027027027,0.315789473684211,0.62402496099844,0.27027027027027,0.315789473684211,0.62402496099844,0.27027027027027,0.315789473684211
0,0,0,0,0,0,0,0,0,0.377535101404056,0.72972972972973,0.684210526315789,0.377535101404056,0.72972972972973,0.684210526315789,0.377535101404056,0.72972972972973,0.684210526315789,0.379095163806552,0.72972972972973,0.684210526315789,0.37597503900156,0.72972972972973,0.684210526315789,0.37597503900156,0.72972972972973,0.684210526315789
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
